Do you drink coffee?;How often do you drink coffee?;How many cups of coffee do you usually drink per day?;At what time do you usually have your first coffee of the day?;Where do you most often drink coffee?;How do you usually prepare or get your coffee?;What type of coffee (coffee drink) do you drink most often?;What do you usually add to your coffee?;Do you prefer your coffee strong or mild?;What are your main reasons for drinking coffee? ;Do you experience any negative effects from drinking coffee?;In your opinion, what is the overall impact of coffee on health?;Which of the following statements best describes your relationship with coffee? ;Why don’t you drink coffee?;What do you drink instead of coffee?;Age group;Gender;Country of residence;Cleaned Country;ISO Code
Yes;Every day;2;Late morning (9–12);At home;Cold brew (brewed cold);Iced or dessert coffee (cold, e.g., frappé, iced cold brew, etc.);Milk or cream (dairy);Rather mild;Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Positive – drinking coffee mostly benefits health (e.g., health properties);I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Male;bharat;India;IN
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;25-34;Male;UK;United Kingdom;GB
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Water;25-34;Female;United Kingdom;United Kingdom;GB
No;;;;;;;;;;;;;I don’t like the taste;Tea;25-34;Female;brasil;Brazil;BR
No;;;;;;;;;;;;;I don’t like the taste;Water;18-24;Female;czech republic;Czechia;CZ
Yes;Once a week;1;Right after waking up (~5–9 AM);At home;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine, Social aspect – I drink coffee during social or work gatherings;Withdrawal symptoms (e.g., headache or irritability if I skip coffee), Heart palpitations / rapid heartbeat;Positive – drinking coffee mostly benefits health (e.g., health properties);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;schweiz;Switzerland;CH
Yes;Every day;1;Within the first hour after waking up (~6–10 AM);At work / school / university;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather mild;Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);I like coffee, but I could do without it – it’s not a necessity.;;;25-34;Female;USA;United States;US
Yes;Once a week;1;Early afternoon (12–3 PM);In a café (on site);Traditional boiled coffee (“Turkish style” or grounds brewed directly);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;Nervousness / jitters (anxiety, shaking hands after coffee), Stomach issues (acid reflux, heartburn, stomach pain);Positive – drinking coffee mostly benefits health (e.g., health properties);I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;US;United States;US
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;18-24;Female;CA;Canada;CA
Yes;Every day;1;Right after waking up (~5–9 AM);At home;French press / moka pot (plunger pot or moka pot);Espresso (small, very strong coffee ~30 ml);Nothing – I drink it black (without additives);Rather strong;Energy / stimulation – to wake up, get an energy boost;Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;UK;United Kingdom;GB
Yes;Every day;1;Within the first hour after waking up (~6–10 AM);At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Plant-based milk (e.g., soy, oat, almond);Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine, To warm up – especially on cold days;Sleep problems (e.g., insomnia or difficulty falling asleep);Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;netherlands;Netherlands;NL
Yes;Several times a week;1;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather mild;Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively;Nervousness / jitters (anxiety, shaking hands after coffee), Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;35-44;Female;Canada;Canada;CA
Yes;Several times a week;1;Within the first hour after waking up (~6–10 AM);At work / school / university;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Cappuccino (coffee with milk and foam, classic cappuccino);Plant-based milk (e.g., soy, oat, almond);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;ceska republika;Czechia;CZ
Yes;Once a week;1;Evening;At home;French press / moka pot (plunger pot or moka pot);Caffè latte / Latte macchiato (coffee with a large amount of milk);Sugar / sweetener;Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Male;britland;United Kingdom;GB
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;25-34;Male;spain;Spain;ES
Yes;Several times a week;2;Late morning (9–12);At home;Instant coffee (soluble – with hot water);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather strong;;Heart palpitations / rapid heartbeat;I have no opinion / hard to say;I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Male;Italy;Italy;IT
No;;;;;;;;;Energy / stimulation – to wake up, get an energy boost;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;25-34;Male;netherlands;Netherlands;NL
Yes;Once a week;1;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Traditional boiled coffee (“Turkish style” or grounds brewed directly);Espresso (small, very strong coffee ~30 ml);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost, Relaxation – it’s a moment of pause and rest;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Female;france;France;FR
Yes;Every day;1;Late morning (9–12);At home;Instant coffee (soluble – with hot water);Caffè latte / Latte macchiato (coffee with a large amount of milk);Sugar / sweetener;Rather mild;Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;Ireland;Ireland;IE
No;;;;;;;;;;;;;I don’t like the taste;Tea;35-44;Female;United St. ;United States;US
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Yerba mate;25-34;Male;finland;Finland;FI
Yes;Every day;2;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Cold brew (brewed cold);Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather mild;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;Stomach issues (acid reflux, heartburn, stomach pain), Nervousness / jitters (anxiety, shaking hands after coffee);I have no opinion / hard to say;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;bel;Belgium;BE
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Female;united states;United States;US
Yes;Several times a week;2;Right after waking up (~5–9 AM);At work / school / university;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Definitely mild (light flavor or low caffeine content);Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;Indonesia;Indonesia;ID
Yes;Once a week;1;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Other;Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine, Relaxation – it’s a moment of pause and rest;Heart palpitations / rapid heartbeat;I have no opinion / hard to say;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;25-34;Female;poland;Poland;PL
Yes;Rarely/Occasionally;3–4;Right after waking up (~5–9 AM);In a café (on site);French press / moka pot (plunger pot or moka pot);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Definitely mild (light flavor or low caffeine content);Energy / stimulation – to wake up, get an energy boost, Social aspect – I drink coffee during social or work gatherings;Nervousness / jitters (anxiety, shaking hands after coffee);Positive – drinking coffee mostly benefits health (e.g., health properties);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;ireland;Ireland;IE
Yes;Every day;2;Right after waking up (~5–9 AM);No single dominant place;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Sugar / sweetener;Rather strong;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;Nervousness / jitters (anxiety, shaking hands after coffee);Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;25-34;Female;sweden;Sweden;SE
Yes;Every day;1;Late morning (9–12);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Other;Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;uk;United Kingdom;GB
Yes;Several times a week;3–4;Late morning (9–12);In a café (on site);I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost, Relaxation – it’s a moment of pause and rest;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;25-34;Male;Deutschland;Germany;DE
Yes;Every day;3–4;Evening;At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee, To warm up – especially on cold days;Withdrawal symptoms (e.g., headache or irritability if I skip coffee), Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;USA;United States;US
Yes;Several times a month;1;Within the first hour after waking up (~6–10 AM);At work / school / university;French press / moka pot (plunger pot or moka pot);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather mild;Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;25-34;Female;Austria;Austria;AT
Yes;Once a week;1;Late morning (9–12);At work / school / university;Instant coffee (soluble – with hot water);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather mild;Energy / stimulation – to wake up, get an energy boost, Social aspect – I drink coffee during social or work gatherings;No, I don’t experience any negative effects;Negative – drinking coffee mostly harms health (e.g., causes issues);"Coffee is just a drink to me; I don’t give it much thought.";;;25-34;Female;United Kingdom;United Kingdom;GB
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Other;18-24;Male;poland;Poland;PL
Yes;Every day;3–4;Late morning (9–12);To go (on the way, e.g., in the car or on public transport);Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather mild;Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Negative – drinking coffee mostly harms health (e.g., causes issues);"Coffee is just a drink to me; I don’t give it much thought.";;;25-34;Female;czech republic;Czechia;CZ
Yes;Several times a week;2;Right after waking up (~5–9 AM);No single dominant place;Instant coffee (soluble – with hot water);Espresso (small, very strong coffee ~30 ml);Sugar / sweetener;Rather strong;Taste and enjoyment – I simply like the taste of coffee, Relaxation – it’s a moment of pause and rest, To warm up – especially on cold days;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Female;United States;United States;US
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Energy drinks;18-24;Male;Switzerland;Switzerland;CH
Yes;Several times a week;1;Late morning (9–12);In a café (on site);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Espresso (small, very strong coffee ~30 ml);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;Sleep problems (e.g., insomnia or difficulty falling asleep);Negative – drinking coffee mostly harms health (e.g., causes issues);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;italia;Italy;IT
Yes;Every day;1;Right after waking up (~5–9 AM);At work / school / university;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine;Sleep problems (e.g., insomnia or difficulty falling asleep);I have no opinion / hard to say;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Male;Sweden;Sweden;SE
Yes;Several times a month;1;No fixed time / it varies;At work / school / university;Instant coffee (soluble – with hot water);Cappuccino (coffee with milk and foam, classic cappuccino);Other;Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Negative – drinking coffee mostly harms health (e.g., causes issues);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;Italy;Italy;IT
Yes;Every day;2;Right after waking up (~5–9 AM);In a café (on site);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Sugar / sweetener;Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;Nervousness / jitters (anxiety, shaking hands after coffee);Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Female;US;United States;US
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;18-24;Female;USA;United States;US
No;;;;;;;;;;;;;I don’t like the taste;Water;18-24;Female;Malaysia;Malaysia;MY
Yes;Once a week;2;Within the first hour after waking up (~6–10 AM);At home;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Cappuccino (coffee with milk and foam, classic cappuccino);Plant-based milk (e.g., soy, oat, almond);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Concentration – coffee helps me focus and work more effectively;Nervousness / jitters (anxiety, shaking hands after coffee);Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;35-44;Female;boleh land;Malaysia;MY
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Nothing – I don’t need stimulating drinks;18-24;Female;United Kingdom;United Kingdom;GB
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Water;35-44;Female;bel;Belgium;BE
Yes;Every day;1;Right after waking up (~5–9 AM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Negative – drinking coffee mostly harms health (e.g., causes issues);I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Female;italy;Italy;IT
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Male;Bangladesh;Bangladesh;BD
Yes;Once a week;2;No fixed time / it varies;At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Iced or dessert coffee (cold, e.g., frappé, iced cold brew, etc.);Plant-based milk (e.g., soy, oat, almond);Rather strong;Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively;Sleep problems (e.g., insomnia or difficulty falling asleep), Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;25-34;Female;uk;United Kingdom;GB
No;;;;;;;;;;;;;I don’t like the taste;Nothing – I don’t need stimulating drinks;18-24;Female;England;United Kingdom;GB
No;;;;;;;;;;;;;I don’t like the taste;Water;18-24;Female;India;India;IN
Yes;Every day;2;Within the first hour after waking up (~6–10 AM);At home;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Milk or cream (dairy);Rather mild;Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Female;Ireland;Ireland;IE
Yes;Every day;1;Late morning (9–12);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Other (your favorite coffee type not listed above);Milk or cream (dairy);It depends – I don’t have a fixed preference (e.g., depends on the time of day);Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively, Relaxation – it’s a moment of pause and rest;Stomach issues (acid reflux, heartburn, stomach pain);Positive – drinking coffee mostly benefits health (e.g., health properties);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;england;United Kingdom;GB
Yes;Several times a month;1;Right after waking up (~5–9 AM);At home;Instant coffee (soluble – with hot water);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);It depends – I don’t have a fixed preference (e.g., depends on the time of day);Social aspect – I drink coffee during social or work gatherings;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Female;kingdom;United Kingdom;GB
Yes;Every day;2;Late morning (9–12);At home;Instant coffee (soluble – with hot water);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Flavored syrup (vanilla, caramel, etc.);Rather mild;Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Female;sweden;Sweden;SE
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Tea;18-24;Female;pl;Poland;PL
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Male;USA;United States;US
Yes;Every day;3–4;Right after waking up (~5–9 AM);At home;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather strong;Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;United Kingdom;United Kingdom;GB
Yes;Several times a month;2;Late afternoon (3–6 PM);No single dominant place;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Espresso (small, very strong coffee ~30 ml);Nothing – I drink it black (without additives);Rather mild;Routine / habit – I drink it out of habit, it’s part of my daily routine, Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;<18;Female;Deutschland;Germany;DE
Yes;Several times a month;2;Right after waking up (~5–9 AM);At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather mild;Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;45-54;Male;pl;Poland;PL
Yes;Several times a week;1;Right after waking up (~5–9 AM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost, Concentration – coffee helps me focus and work more effectively;Nervousness / jitters (anxiety, shaking hands after coffee);Negative – drinking coffee mostly harms health (e.g., causes issues);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;irish republic;Ireland;IE
Yes;Several times a week;2;Right after waking up (~5–9 AM);At work / school / university;Instant coffee (soluble – with hot water);Instant coffee (soluble, in a cup);Sugar / sweetener;Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine, Relaxation – it’s a moment of pause and rest;Nervousness / jitters (anxiety, shaking hands after coffee);Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Female;Spain;Spain;ES
Yes;Every day;2;Within the first hour after waking up (~6–10 AM);At home;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Sugar / sweetener;Definitely mild (light flavor or low caffeine content);Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Male;usa;United States;US
No;;;;;;;;;;;;;Other;Energy drinks;18-24;Male;poland;Poland;PL
Yes;Every day;1;Late morning (9–12);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Instant coffee (soluble, in a cup);Sugar / sweetener;Rather strong;Energy / stimulation – to wake up, get an energy boost, Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;USA;United States;US
Yes;Every day;1;Right after waking up (~5–9 AM);In a café (on site);I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Espresso (small, very strong coffee ~30 ml);Nothing – I drink it black (without additives);Rather strong;Relaxation – it’s a moment of pause and rest, Social aspect – I drink coffee during social or work gatherings;Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Positive – drinking coffee mostly benefits health (e.g., health properties);"Coffee is just a drink to me; I don’t give it much thought.";;;25-34;Male;ph;Philippines;PH
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;18-24;Male;germany;Germany;DE
Yes;Several times a week;1;Early afternoon (12–3 PM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather strong;Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;USA;United States;US
No;;;;;;;;;;;;;Other;Water;18-24;Female;Poland;Poland;PL
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Tea;25-34;Female;United States;United States;US
Yes;Several times a week;1;Within the first hour after waking up (~6–10 AM);At work / school / university;Instant coffee (soluble – with hot water);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively;Stomach issues (acid reflux, heartburn, stomach pain);Negative – drinking coffee mostly harms health (e.g., causes issues);I can’t imagine a day without coffee – I need it to function properly.;;;25-34;Female;USA;United States;US
Yes;Several times a week;1;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Espresso (small, very strong coffee ~30 ml);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;Stomach issues (acid reflux, heartburn, stomach pain);Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Female;netherland;Netherlands;NL
Yes;Several times a week;1;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Cold brew (brewed cold);Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Social aspect – I drink coffee during social or work gatherings;No, I don’t experience any negative effects;Negative – drinking coffee mostly harms health (e.g., causes issues);I like coffee, but I could do without it – it’s not a necessity.;;;35-44;Male;United Kingdom;United Kingdom;GB
Yes;Every day;1;Within the first hour after waking up (~6–10 AM);At work / school / university;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Espresso (small, very strong coffee ~30 ml);Sugar / sweetener;Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;Negative – drinking coffee mostly harms health (e.g., causes issues);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;Kingdom of the Netherlands;Netherlands;NL
Yes;Every day;1;Late morning (9–12);At work / school / university;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Espresso (small, very strong coffee ~30 ml);Nothing – I drink it black (without additives);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;belgium;Belgium;BE
Yes;Every day;3–4;Right after waking up (~5–9 AM);At home;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely mild (light flavor or low caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine, Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);I can’t imagine a day without coffee – I need it to function properly.;;;25-34;Female;Czech Republic;Czechia;CZ
Yes;Every day;2;Right after waking up (~5–9 AM);No single dominant place;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Female;mzansi ;South Africa;ZA
Yes;Every day;2;Late afternoon (3–6 PM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Female;romania;Romania;RO
